,Unnamed: 0,Unnamed: 0.1,ID,Source,DriftRateMax,Nevent,FreqMid,DriftBW,DriftRates,Freqs,FileID,SNR,HitCategory,PngFile
0,0,0,0,HIP63894,0.009853,1,1527.4072529999999,0.0005,[0.009853],[1527.407253],spliced_blc02030405_2bit_guppi_57404_46879_HIP63894_0003.gpuspec.0000.h5,[18.413417],Hits in off,HIP63894_0.png
1,1,1,1,HIP3092,0.009566,1,1556.17138,0.0005,[-0.009566],[1556.17138],spliced_blc0001020304050607_guppi_57557_47744_HIP3092_0005.gpuspec.0000.h5,[160.758627],Hits in off,HIP3092_1.png
2,2,2,2,HIP3092,0.009566,1,1547.738708,0.0005,[-0.009566],[1547.738708],spliced_blc0001020304050607_guppi_57579_50822_Hip3092_0033.gpuspec.0000.h5,[28.005379],Hits in off,HIP3092_2.png
3,3,3,3,HIP3093,0.009566,1,1552.088804,0.0005,[-0.009566],[1552.088804],spliced_blc0001020304050607_guppi_57557_49866_HIP3093_0011.gpuspec.0000.h5,[10.240629],Hits in off,HIP3093_3.png
4,4,4,4,HIP3093,0.0,1,1555.9910320000001,0.0005,[-0.],[1555.991032],spliced_blc0001020304050607_guppi_57557_49866_HIP3093_0011.gpuspec.0000.h5,[32.479078],Hits in off,HIP3093_4.png
5,5,5,5,HIP3418,0.009566,1,1554.3832710000001,0.0005,[-0.009566],[1554.383271],spliced_blc0001020304050607_guppi_57557_51962_HIP3418_0017.gpuspec.0000.h5,[10.180084],Hits in off,HIP3418_5.png
6,6,6,6,HIP15457,0.009566,1,1694.415366,0.0005,[-0.009566],[1694.415366],spliced_blc0001020304050607_guppi_57557_56264_HIP15457_0029.gpuspec.0000.h5,[135.311896],Hits in off,HIP15457_6.png
7,7,7,7,HIP32769,0.029559,1,1681.487236,0.0005,[0.029559],[1681.487236],spliced_blc02030405_2bit_guppi_57403_HIP32769_0018.gpuspec.0000.h5,[28.624355],Plotting issue,HIP32769_7.png
8,8,8,8,HIP72875,0.009566,1,1449.797982,0.0005,[-0.009566],[1449.797982],spliced_blc0001020304050607_guppi_57570_16199_HIP72875_0008.gpuspec.0000.h5,[14.269077],Hits in off,HIP72875_8.png
9,9,9,9,HIP72875,0.009566,1,1551.0754259999999,0.0005,[0.009566],[1551.075426],spliced_blc0001020304050607_guppi_57570_16199_HIP72875_0008.gpuspec.0000.h5,[14.22812],Hits in off,HIP72875_9.png
10,10,10,10,HIP72875,0.038266,1,1554.962603,0.0005,[-0.038266],[1554.962603],spliced_blc0001020304050607_guppi_57570_16199_HIP72875_0008.gpuspec.0000.h5,[20.720718],Hits in off,HIP72875_10.png
11,11,11,11,HIP72875,0.019133,1,1681.4367690000001,0.0005,[0.019133],[1681.436769],spliced_blc0001020304050607_guppi_57570_16199_HIP72875_0008.gpuspec.0000.h5,[37.051144],Hits in off,HIP72875_11.png
12,12,12,12,HIP92161,0.009566,1,1526.425056,0.0005,[0.009566],[1526.425056],spliced_blc0001020304050607_guppi_57570_18433_HIP92161_0014.gpuspec.0000.h5,[61.219315],Hits in off,HIP92161_12.png
13,13,13,13,HIP92161,0.009566,1,1526.5543810000001,0.0005,[0.009566],[1526.554381],spliced_blc0001020304050607_guppi_57570_18433_HIP92161_0014.gpuspec.0000.h5,[110.613402],Hits in off,HIP92161_13.png
14,14,14,14,HIP38325,0.009566,1,1556.759178,0.0005,[-0.009566],[1556.759178],spliced_blc0001020304050607_guppi_57556_73737_HIP38325_0007.gpuspec.0000.h5,[10.469365],Hits in off,HIP38325_14.png
15,15,15,15,HIP38325,0.009566,1,1556.446678,0.0005,[-0.009566],[1556.446678],spliced_blc0001020304050607_guppi_57556_73737_HIP38325_0007.gpuspec.0000.h5,[16.310035],Hits in off,HIP38325_15.png
16,16,16,16,HIP38325,0.009566,1,1552.330954,0.0005,[-0.009566],[1552.330954],spliced_blc0001020304050607_guppi_57556_73737_HIP38325_0007.gpuspec.0000.h5,[19.975051],Hits in off,HIP38325_16.png
17,17,17,17,HIP34115,0.009566,1,1533.861405,0.0005,[-0.009566],[1533.861405],spliced_blc0001020304050607_guppi_57556_62857_HIP34115_0009.gpuspec.0000.h5,[28.518902],Hits in off,HIP34115_17.png
18,18,18,18,HIP34115,0.009566,1,1550.9585769999999,0.0005,[-0.009566],[1550.958577],spliced_blc0001020304050607_guppi_57571_66683_HIP34115_0009.gpuspec.0000.h5,[11.043681],Hits in off,HIP34115_18.png
19,19,19,19,HIP34115,0.009566,1,1551.0901720000006,0.0005,[-0.009566],[1551.090172],spliced_blc0001020304050607_guppi_57571_66683_HIP34115_0009.gpuspec.0000.h5,[16.446958],Hits in off,HIP34115_19.png
20,20,20,20,HIP34115,0.009566,1,1552.209316,0.0005,[-0.009566],[1552.209316],spliced_blc0001020304050607_guppi_57571_66683_HIP34115_0009.gpuspec.0000.h5,[14.771657],Hits in off,HIP34115_20.png
21,21,21,21,HIP34115,0.009566,1,1527.38477,0.0005,[-0.009566],[1527.38477],spliced_blc0001020304050607_guppi_57573_62380_HIP34115_0007.gpuspec.0000.h5,[14.679072],Hits in off,HIP34115_21.png
22,22,22,22,HIP34115,0.009566,1,1535.3463800000006,0.0005,[-0.009566],[1535.34638],spliced_blc0001020304050607_guppi_57573_62380_HIP34115_0007.gpuspec.0000.h5,[41.445689],Hits in off,HIP34115_22.png
23,23,23,23,HIP35136,0.009566,1,1526.7463710000006,0.0005,[-0.009566],[1526.746371],spliced_blc0001020304050607_guppi_57556_66882_HIP35136_0002.gpuspec.0000.h5,[11.076481],Hits in off,HIP35136_23.png
