,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,ID,Source,DriftRateMax,Nevent,FreqMid,DriftBW,DriftRates,Freqs,FileID,SNR,HitCategory,PngFile
0,0,0,0,0,0,HIP7981,0.0,1,1928.449198,0.0005,[-0.],[1928.449198],spliced_blc0001020304050607_guppi_57899_62892_HIP7981_0027.gpuspec.0000.h5,[11.922497],Hits in off,HIP7981_0.png
1,1,1,1,1,1,HIP105199,0.08609800000000001,1,2090.957978,0.0005,[-0.086098],[2090.957978],spliced_blc0001020304050607_guppi_57790_66841_HIP105199_0037.gpuspec.0000.h5,[13.213045],Hits in off,HIP105199_1.png
2,2,2,2,2,2,HIP40501,0.009566,1,2195.5317170000008,0.0005,[-0.009566],[2195.531717],spliced_blc0001020304050607_guppi_57800_23841_HIP40501_0054.gpuspec.0000.h5,[34.559904],Hits in off,HIP40501_2.png
3,3,3,3,3,3,HIP40501,0.10523099999999999,1,2220.233088,0.0005,[-0.105231],[2220.233088],spliced_blc0001020304050607_guppi_57800_23841_HIP40501_0054.gpuspec.0000.h5,[12.075876],Hits in off,HIP40501_3.png
4,4,4,4,4,4,HIP64924,0.0,1,2190.624688,0.0005,[-0.],[2190.624688],spliced_blc0001020304050607_guppi_57802_33220_HIP64924_0015.gpuspec.0000.h5,[6255.339569],Hits in off,HIP64924_4.png
5,5,5,5,5,5,HIP64924,0.0,1,2193.554376,0.0005,[-0.],[2193.554376],spliced_blc0001020304050607_guppi_57802_33220_HIP64924_0015.gpuspec.0000.h5,[34633.157832],Hits in off,HIP64924_5.png
6,6,6,6,6,6,HIP95501,0.057399,1,2255.443734,0.0005,[0.057399],[2255.443734],spliced_blc0001020304050607_guppi_57852_47797_HIP95501_0026.gpuspec.0000.h5,[86.941202],Hits in off,HIP95501_6.png
7,7,7,7,7,7,HIP21988,0.019133,1,1861.561418,0.0005,[0.019133],[1861.561418],spliced_blc0001020304050607_guppi_57804_01593_HIP21988_0051.gpuspec.0000.h5,[34.008486],Hits in off,HIP21988_7.png
8,8,8,8,8,8,HIP95501,0.019133,1,2183.000227,0.0005,[0.019133],[2183.000227],spliced_blc0001020304050607_guppi_57852_47797_HIP95501_0026.gpuspec.0000.h5,[23.371712],Hits in off,HIP95501_8.png
9,9,9,9,9,9,HIP21988,0.019133,1,2611.561418,0.0005,[0.019133],[2611.561418],spliced_blc0001020304050607_guppi_57804_01593_HIP21988_0051.gpuspec.0000.h5,[18.688264],Hits in off,HIP21988_9.png
10,10,10,10,10,10,HIP77660,0.019133,1,2239.378159,0.0005,[-0.019133],[2239.378159],spliced_blc0001020304050607_guppi_57902_04640_HIP77660_0002.gpuspec.0000.h5,[100.204457],Hits in off,HIP77660_10.png
11,11,11,11,11,11,HIP77660,0.028699000000000002,1,2235.457485000001,0.0005,[0.028699],[2235.457485],spliced_blc0001020304050607_guppi_57902_04640_HIP77660_0002.gpuspec.0000.h5,[21.190292],Hits in off,HIP77660_11.png
12,12,12,12,12,12,HIP77660,0.019133,1,1810.717841,0.0005,[0.019133],[1810.717841],spliced_blc0001020304050607_guppi_57902_04640_HIP77660_0002.gpuspec.0000.h5,[65.994489],Hits in off,HIP77660_12.png
13,13,13,13,13,13,HIP94349,0.066965,1,2228.480442,0.0005,[0.066965],[2228.480442],spliced_blc0001020304050607_guppi_57852_41371_HIP94349_0008.gpuspec.0000.h5,[15.715394],Hits in off,HIP94349_13.png
14,14,14,14,14,14,HIP22044,0.066965,1,2103.701623,0.0005,[-0.066965],[2103.701623],spliced_blc0001020304050607_guppi_57906_54967_HIP22044_0026.gpuspec.0000.h5,[58.498488],Hits in off,HIP22044_14.png
15,15,15,15,15,15,HIP94349,0.057399,1,2188.000035,0.0005,[-0.057399],[2188.000035],spliced_blc0001020304050607_guppi_57852_41371_HIP94349_0008.gpuspec.0000.h5,[54.207931],Hits in off,HIP94349_15.png
16,16,16,16,16,16,HIP86287,0.019133,1,2198.2552570000007,0.0005,[0.019133],[2198.255257],spliced_blc0001020304050607_guppi_57901_30708_HIP86287_0014.gpuspec.0000.h5,[95.212007],Hits in off,HIP86287_16.png
17,17,17,17,17,17,HIP22044,0.066965,1,2104.757639,0.0005,[-0.066965],[2104.757639],spliced_blc0001020304050607_guppi_57906_54967_HIP22044_0026.gpuspec.0000.h5,[52.825074],Hits in off,HIP22044_17.png
18,18,18,18,18,18,HIP22044,0.076532,1,2105.007353,0.0005,[-0.076532],[2105.007353],spliced_blc0001020304050607_guppi_57906_54967_HIP22044_0026.gpuspec.0000.h5,[45.354567],None,HIP22044_18.png
19,19,19,19,19,19,HIP22044,0.076532,1,2107.348038,0.0005,[-0.076532],[2107.348038],spliced_blc0001020304050607_guppi_57906_54967_HIP22044_0026.gpuspec.0000.h5,[62.795967],None,HIP22044_19.png
20,20,20,20,20,20,HIP22044,0.066965,1,2107.64288,0.0005,[-0.066965],[2107.64288],spliced_blc0001020304050607_guppi_57906_54967_HIP22044_0026.gpuspec.0000.h5,[53.994614],None,HIP22044_20.png
21,21,21,21,21,21,HIP22044,0.066965,1,2109.038867,0.0005,[-0.066965],[2109.038867],spliced_blc0001020304050607_guppi_57906_54967_HIP22044_0026.gpuspec.0000.h5,[58.418093],None,HIP22044_21.png
22,22,22,22,22,22,HIP4436,0.028699000000000002,1,2267.511238,0.0005,[0.028699],[2267.511238],spliced_blc0001020304050607_guppi_57850_59753_HIP4436_0002.gpuspec.0000.h5,[22.803576],None,HIP4436_22.png
23,23,23,23,23,23,HIP22044,0.066965,1,2111.051616,0.0005,[-0.066965],[2111.051616],spliced_blc0001020304050607_guppi_57906_54967_HIP22044_0026.gpuspec.0000.h5,[67.765697],None,HIP22044_23.png
24,24,24,24,24,24,HIP22044,0.009566,1,2197.829655,0.0005,[-0.009566],[2197.829655],spliced_blc0001020304050607_guppi_57906_54967_HIP22044_0026.gpuspec.0000.h5,[159.90099],None,HIP22044_24.png
25,25,25,25,25,25,HIP22044,0.0,1,2198.6161039999997,0.0005,[-0.],[2198.616104],spliced_blc0001020304050607_guppi_57906_54967_HIP22044_0026.gpuspec.0000.h5,[118.701482],None,HIP22044_25.png
26,26,26,26,26,26,HIP88771,0.095665,1,2267.512386,0.0005,[0.095665],[2267.512386],spliced_blc0001020304050607_guppi_57790_59757_HIP88771_0019.gpuspec.0000.h5,[23.156591],None,HIP88771_26.png
27,27,27,27,27,27,HIP88745,0.019133,1,2196.1694629999997,0.0005,[0.019133],[2196.169463],spliced_blc0001020304050607_guppi_57936_24173_HIP88745_0020.gpuspec.0000.h5,[10.04106],None,HIP88745_27.png
28,28,28,28,28,28,HIP88745,0.019133,1,2195.923462,0.0005,[0.019133],[2195.923462],spliced_blc0001020304050607_guppi_57936_24173_HIP88745_0020.gpuspec.0000.h5,[14.962664],None,HIP88745_28.png
29,29,29,29,29,29,HIP77660,0.019133,1,2239.553509,0.0005,[0.019133],[2239.553509],spliced_blc0001020304050607_guppi_57902_04640_HIP77660_0002.gpuspec.0000.h5,[29.280093],None,HIP77660_29.png
30,30,30,30,30,30,HIP98921,0.019133,1,2184.593065,0.0005,[0.019133],[2184.593065],spliced_blc0001020304050607_guppi_57858_46543_HIP98921_0032.gpuspec.0000.h5,[22.048511],None,HIP98921_30.png
31,31,31,31,31,31,HIP64457,0.019133,1,2188.095681,0.0005,[-0.019133],[2188.095681],spliced_blc0001020304050607_guppi_57754_44430_HIP64457_0015.gpuspec.0000.h5,[365.209057],None,HIP64457_31.png
32,32,32,32,32,32,HIP64457,0.028699000000000002,1,2277.500592000001,0.0005,[0.028699],[2277.500592],spliced_blc0001020304050607_guppi_57754_44430_HIP64457_0015.gpuspec.0000.h5,[18.629323],None,HIP64457_32.png
33,33,33,33,33,33,HIP34414,0.066965,1,1875.255034,0.0005,[-0.066965],[1875.255034],spliced_blc0001020304050607_guppi_57756_17315_HIP34414_0003.gpuspec.0000.h5,[30.334952],None,HIP34414_33.png
34,34,34,34,34,34,HIP34414,0.114798,1,2015.757443,0.0005,[0.114798],[2015.757443],spliced_blc0001020304050607_guppi_57756_17315_HIP34414_0003.gpuspec.0000.h5,[12.223798],None,HIP34414_34.png
35,35,35,35,35,35,HIP69357,0.057399,1,2218.050136,0.0005,[-0.057399],[2218.050136],spliced_blc0001020304050607_guppi_57757_49849_HIP69357_0003.gpuspec.0000.h5,[24.818472],None,HIP69357_35.png
